                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.3104,                 1.2593,                 1.4724,                0.72462,                0.71422,                0.76131,                0.39026,                 1.6405,                 1.3252,                 1.7491,              0.0007921,              0.0007921,              0.0007921
                     45,                 1.3186,                  1.241,                 1.4624,                0.74516,                 0.6653,                0.74481,                0.43345,                 1.5966,                 1.1594,                 1.7011,             0.00078715,             0.00078715,             0.00078715
                     46,                 1.2962,                  1.225,                 1.4467,                0.70911,                0.73352,                0.74333,                0.42634,                 1.6294,                  1.128,                 1.7532,              0.0007822,              0.0007822,              0.0007822
                     47,                 1.2983,                 1.2311,                 1.4559,                0.83096,                0.64547,                0.67111,                0.39388,                 1.5869,                  1.174,                 1.7592,             0.00077725,             0.00077725,             0.00077725
                     48,                 1.3035,                 1.2384,                 1.4444,                  0.623,                0.84098,                0.78825,                0.43581,                 1.5022,                 1.0837,                 1.6512,              0.0007723,              0.0007723,              0.0007723
                     49,                 1.3045,                  1.234,                 1.4546,                0.84553,                0.62779,                0.71818,                0.43412,                 1.4149,                 1.1439,                 1.5423,             0.00076735,             0.00076735,             0.00076735
                     50,                 1.2883,                 1.2344,                 1.4542,                0.71717,                0.74784,                0.74332,                 0.4233,                  1.525,                 1.2192,                 1.6312,              0.0007624,              0.0007624,              0.0007624
                     51,                 1.2928,                  1.209,                 1.4446,                0.63857,                0.74194,                0.72646,                0.44065,                 1.4955,                 1.2115,                 1.6285,             0.00075745,             0.00075745,             0.00075745
                     52,                 1.2814,                 1.2267,                 1.4354,                0.89762,                0.63563,                0.77198,                0.43246,                 1.5077,                 1.2196,                 1.6288,              0.0007525,              0.0007525,              0.0007525
                     53,                 1.2899,                 1.2387,                 1.4466,                0.64729,                0.75813,                0.76397,                0.42584,                 1.5523,                 1.2035,                 1.6882,             0.00074755,             0.00074755,             0.00074755
                     54,                 1.2798,                 1.2035,                 1.4506,                0.80481,                0.68436,                0.75254,                0.42984,                   1.49,                 1.1124,                 1.5691,              0.0007426,              0.0007426,              0.0007426
                     55,                 1.2581,                  1.188,                 1.4319,                0.72063,                0.75351,                0.83258,                0.50051,                 1.5542,                0.95062,                 1.6731,             0.00073765,             0.00073765,             0.00073765
                     56,                 1.2861,                 1.1999,                 1.4342,                0.56358,                0.72411,                0.69867,                0.38695,                 1.5662,                  1.136,                 1.6504,              0.0007327,              0.0007327,              0.0007327
                     57,                 1.2903,                 1.2117,                 1.4458,                0.66652,                0.70436,                0.68524,                0.39817,                 1.5498,                 1.1256,                 1.6531,             0.00072775,             0.00072775,             0.00072775
                     58,                 1.2889,                 1.2031,                 1.4384,                0.64663,                0.78545,                0.76898,                0.47382,                 1.4358,                0.98495,                 1.5841,              0.0007228,              0.0007228,              0.0007228
                     59,                 1.2604,                 1.1753,                 1.4174,                0.75424,                0.66193,                0.78443,                0.42488,                 1.4521,                 1.1571,                 1.5739,             0.00071785,             0.00071785,             0.00071785
                     60,                 1.2741,                 1.1882,                 1.4301,                0.63522,                0.79592,                0.77844,                0.45429,                 1.5183,                 1.0474,                 1.6188,              0.0007129,              0.0007129,              0.0007129
                     61,                  1.282,                    1.2,                  1.435,                0.57732,                0.76473,                0.72825,                0.43572,                 1.5262,                  1.088,                 1.6304,             0.00070795,             0.00070795,             0.00070795
                     62,                 1.2722,                 1.1971,                 1.4395,                0.66206,                 0.7813,                0.77134,                 0.4858,                 1.3691,                 1.1079,                 1.4957,               0.000703,               0.000703,               0.000703
                     63,                 1.2586,                 1.1693,                 1.4298,                0.86261,                 0.6504,                0.75367,                0.46651,                 1.4595,                 1.0655,                 1.5332,             0.00069805,             0.00069805,             0.00069805
                     64,                 1.2524,                 1.1829,                   1.42,                0.67605,                0.81428,                0.80252,                0.42584,                 1.5041,                 1.1094,                 1.5817,              0.0006931,              0.0006931,              0.0006931
                     65,                 1.2536,                 1.1485,                 1.4283,                0.65491,                 0.7794,                0.74907,                0.40891,                 1.5573,                 1.1758,                 1.6567,             0.00068815,             0.00068815,             0.00068815
                     66,                 1.2824,                 1.1833,                 1.4407,                 0.6021,                0.69266,                0.70057,                0.40076,                 1.6191,                 1.1583,                 1.7516,              0.0006832,              0.0006832,              0.0006832
                     67,                 1.2407,                  1.145,                 1.4143,                0.64928,                0.78241,                 0.8223,                0.45054,                 1.5959,                0.98678,                 1.7062,             0.00067825,             0.00067825,             0.00067825
                     68,                 1.2365,                 1.1359,                 1.3991,                0.59779,                0.77804,                0.75046,                0.43916,                 1.5737,                 1.0661,                 1.7089,              0.0006733,              0.0006733,              0.0006733
                     69,                 1.2494,                 1.1377,                 1.4119,                0.59461,                0.75944,                0.71941,                 0.3735,                 1.7269,                 1.0706,                 1.8259,             0.00066835,             0.00066835,             0.00066835
                     70,                 1.2489,                 1.1524,                 1.4161,                0.68251,                 0.6903,                0.73846,                0.42348,                  1.502,                 1.1162,                 1.6095,              0.0006634,              0.0006634,              0.0006634
                     71,                 1.2369,                 1.1277,                 1.4067,                0.57351,                0.73153,                0.67485,                  0.406,                 1.5764,                 1.1205,                 1.7227,             0.00065845,             0.00065845,             0.00065845
                     72,                 1.2558,                 1.1376,                 1.4116,                0.58762,                0.71085,                0.71115,                0.44285,                 1.5363,                0.97674,                 1.7085,              0.0006535,              0.0006535,              0.0006535
                     73,                 1.2361,                 1.1189,                 1.4049,                0.61209,                0.71188,                0.66804,                0.39731,                 1.4992,                 1.2572,                  1.639,             0.00064855,             0.00064855,             0.00064855
                     74,                 1.2433,                 1.1463,                 1.4108,                0.61769,                   0.85,                0.75047,                0.45629,                 1.4729,                 1.0389,                  1.616,              0.0006436,              0.0006436,              0.0006436
